title,authors,year,venue,ee,url,matched categories,match counts
CryptoTrain: Fast Secure Training on Encrypted Dataset.,Jiaqi Xue; Yancheng Zhang; Yanshan Wang; Xueqiang Wang; Hao Zheng 0005; Qian Lou,2024,CCS,https://doi.org/10.1145/3689217.3690617,https://dblp.org/db/conf/lamps/lamps2024.html#XueZWWZL24,PRIVACY_AND_SECURITY,1
PromptRobust: Towards Evaluating the Robustness of Large Language Models on Adversarial Prompts.,Kaijie Zhu; Jindong Wang 0001; Jiaheng Zhou; Zichen Wang; Hao Chen 0102; Yidong Wang; Linyi Yang; Wei Ye 0004; Yue Zhang 0004; Neil Gong 0001; Xing Xie 0001,2024,CCS,https://doi.org/10.1145/3689217.3690621,https://dblp.org/db/conf/lamps/lamps2024.html#Zhu0ZW0WY000024,PRIVACY_AND_SECURITY,1
Adversarial Attacks to Multi-Modal Models.,Zhihao Dou; Xin Hu; Haibo Yang 0001; Zhuqing Liu; Minghong Fang,2024,CCS,https://doi.org/10.1145/3689217.3690619,https://dblp.org/db/conf/lamps/lamps2024.html#DouH0LF24,PRIVACY_AND_SECURITY,2
"""Prompter Says"": A Linguistic Approach to Understanding and Detecting Jailbreak Attacks Against Large-Language Models.",Dylan Lee; Shaoyuan Xie; Shagoto Rahman; Kenneth Pat; David Lee; Qi Alfred Chen,2024,CCS,https://doi.org/10.1145/3689217.3690618,https://dblp.org/db/conf/lamps/lamps2024.html#LeeXRPLC24,PRIVACY_AND_SECURITY,1
TrojFair: Trojan Fairness Attacks.,Jiaqi Xue; Mengxin Zheng; Yi Sheng; Lei Yang 0018; Qian Lou; Lei Jiang 0001,2024,CCS,https://doi.org/10.1145/3689217.3690620,https://dblp.org/db/conf/lamps/lamps2024.html#XueZSYL024,PRIVACY_AND_SECURITY,1
Score and You Shall Find: A Novel Regularization Technique for Cyberattack Detection in Industrial Control Systems.,Tatsumi Oba; Tadahiro Taniguchi; Naoto Yanai,2024,CCS,https://doi.org/10.1145/3689930.3695205,https://dblp.org/db/conf/ricss/ricss2024.html#ObaTY24,PRIVACY_AND_SECURITY,2
Comparing the Security Approaches of CIP and OPC UA.,Alexander Gebhard 0002; Debbie Perouli,2024,CCS,https://doi.org/10.1145/3689930.3695206,https://dblp.org/db/conf/ricss/ricss2024.html#0002P24,PRIVACY_AND_SECURITY,1
On Practical Realization of Evasion Attacks for Industrial Control Systems.,Alessandro Erba 0001; Andr; Riccardo Taormina; Stefano Galelli; Nils Ole Tippenhauer,2024,CCS,https://doi.org/10.1145/3689930.3695213,https://dblp.org/db/conf/ricss/ricss2024.html#0001MTGT24,PRIVACY_AND_SECURITY,1
Risk-Based Methodology for Optimal Cryptoperiod Calculation in ICSs Under Data Siphoning Attack.,Natalija Vlajic; Gabriele Cianfarani,2024,CCS,https://doi.org/10.1145/3689930.3695203,https://dblp.org/db/conf/ricss/ricss2024.html#VlajicC24,PRIVACY_AND_SECURITY,1
Context-Aware Intrusion Detection in Industrial Control Systems.,Md. Raihan Ahmed; Mu Zhang 0001,2024,CCS,https://doi.org/10.1145/3689930.3695212,https://dblp.org/db/conf/ricss/ricss2024.html#Ahmed024,PRIVACY_AND_SECURITY,1
