title,authors,year,venue,ee,url,matched categories,match counts
Eyes Speak Louder: Harnessing Deep Features From Low-Cost Camera Video for Anxiety Detection.,Nandigramam Sai Harshit; Nilesh Kumar Sahu; Haroon R. Lone,2024,BodySys@MobiSys,https://doi.org/10.1145/3662009.3662021,https://dblp.org/db/conf/mobisys/bodysys2024.html#HarshitSL24,VISUAL,1
Universal targeted attacks against mmWave-based human activity recognition system.,Yucheng Xie; Ruizhe Jiang; Xiaonan Guo; Yan Wang 0003; Jerry Cheng; Yingying Chen 0001,2022,MobiSys,https://doi.org/10.1145/3498361.3538774,https://dblp.org/db/conf/mobisys/mobisys2022.html#XieJG0C022,"RADAR, SENSOR_USE_CASES",2
Leveraging speech and ultrasonic signals toward articulation-based smartphone user authentication.,Aslan B. Wong; Ziqi Huang; Kaishun Wu,2022,MobiSys,https://doi.org/10.1145/3498361.3538777,https://dblp.org/db/conf/mobisys/mobisys2022.html#WongHW22,AUDIO,1
Facilitating in-situ shared use of IoT actuators in public spaces.,Wonjung Kim; Seungchul Lee; Youngjae Chang 0001; Taegyeong Lee; Inseok Hwang 0001; Junehwa Song,2021,MobiSys,https://doi.org/10.1145/3458864.3468444,https://dblp.org/db/conf/mobisys/mobisys2021.html#KimLCL0S21a,RISKY_KEYWORDS,1
Sirius: A Self-Localization System for Resource-Constrained IoT Sensors.,Nakul Garg; Nirupam Roy,2023,MobiSys,https://doi.org/10.1145/3581791.3596861,https://dblp.org/db/conf/mobisys/mobisys2023.html#GargR23,RISKY_KEYWORDS,1
Does ambient RF energy suffice to power battery-free IoT?,Atul Bansal; Swarun Kumar; Bob Iannucci,2020,MobiSys,https://doi.org/10.1145/3386901.3396604,https://dblp.org/db/conf/mobisys/mobisys2020.html#BansalKI20,RISKY_KEYWORDS,2
Accurate device self-tracking for robust millimeter-wave imaging on handheld smart devices.,Jacqueline M. Schellberg; Sanjib Sur 0001,2022,MobiSys,https://doi.org/10.1145/3498361.3538775,https://dblp.org/db/conf/mobisys/mobisys2022.html#SchellbergS22,DEPLOYMENT,1
EMSAssist: An End-to-End Mobile Voice Assistant at the Edge for Emergency Medical Services.,Liuyi Jin; Tian Liu 0006; Amran Haroon; Radu Stoleru; Michael Middleton; Ziwei Zhu 0001; Theodora Chaspari,2023,MobiSys,https://doi.org/10.1145/3581791.3596853,https://dblp.org/db/conf/mobisys/mobisys2023.html#JinLHSMZC23,AUDIO,1
Vision-aided 28 GHz mmWave transmission with joint tx-rx beam tracking for 5G communications.,Jihoon Bang; Seungwoo Baek; Hanvit Kim; Hyeonjin Chung; Jaehoon Choi; Sunwoo Kim 0001,2022,MobiSys,https://doi.org/10.1145/3498361.3538652,https://dblp.org/db/conf/mobisys/mobisys2022.html#BangBKCC022,"RADAR, VISUAL",2
Detecting counterfeit liquid food products in a sealed bottle using a smartphone camera.,Bangjie Sun; Sean Rui Xiang Tan; Zhiwei Ren; Mun Choon Chan; Jun Han 0001,2022,MobiSys,https://doi.org/10.1145/3498361.3539776,https://dblp.org/db/conf/mobisys/mobisys2022.html#SunTRCH22,VISUAL,1
