title,category,authors,year,venue,ee,url
Heading for the Abyss: Control Strategies for Exploiting Swinging of a Descending Tethered Aerial Robot.,ROBOT;PRIVACY_AND_SECURITY,Max Polzin; Frank Centamori; Josie Hughes,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10160347,https://dblp.org/db/conf/icra/icra2023.html#PolzinCH23
"On Human Grasping and Manipulation in Kitchens: Automated Annotation, Insights, and Metrics for Effective Data Collection.",ROBOT;PRIVACY_AND_SECURITY,Nathan Elangovan; Ricardo V. Godoy; Felipe Sanches; Ke Wang; Tom White; Patrick Jarvis; Minas V. Liarokapis,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10161171,https://dblp.org/db/conf/icra/icra2023.html#ElangovanGSWWJL23
SafetyNet: Safe Planning for Real-World Self-Driving Vehicles Using Machine-Learned Policies.,ROBOT;PRIVACY_AND_SECURITY,Matt Vitelli; Yan Chang; Yawei Ye; Ana Ferreira 0011; Maciej Wolczyk; Blazej Osinski; Moritz Niendorf; Hugo Grimmett; Qiangui Huang; Ashesh Jain; Peter Ondruska,2022,ICRA,https://doi.org/10.1109/ICRA46639.2022.9811576,https://dblp.org/db/conf/icra/icra2022.html#VitelliCYFWONGH22
Reachable Polyhedral Marching (RPM): A Safety Verification Algorithm for Robotic Systems with Deep Neural Network Components.,ROBOT;PRIVACY_AND_SECURITY,Joseph A. Vincent; Mac Schwager,2021,ICRA,https://doi.org/10.1109/ICRA48506.2021.9561956,https://dblp.org/db/conf/icra/icra2021.html#VincentS21
RoSSO: A High-Performance Python Package for Robotic Surveillance Strategy Optimization Using JAX.,ROBOT;PRIVACY_AND_SECURITY,Yohan John; Connor Hughes; Gilberto D; Jason R. Marden; Francesco Bullo,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10610477,https://dblp.org/db/conf/icra/icra2024.html#JohnHDMB24
An Integrated Position-velocity-force Method for Safety-enhanced Shared Control in Robot-assisted Surgical Cutting.,ROBOT;PRIVACY_AND_SECURITY,Xilin Xiao; Xiaojian Li; Yudong Shi; Jin Fang; Lin Li; Pengfei He; Hangjie Mo,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10610466,https://dblp.org/db/conf/icra/icra2024.html#XiaoLSFLHM24
"A Variable Stiffness Soft Continuum Robot Based on Pre-charged Air, Particle Jamming, and Origami.",ROBOT;PRIVACY_AND_SECURITY,Yujia Li 0003; Tao Ren; Yonghua Chen; Michael Z. Q. Chen,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9196729,https://dblp.org/db/conf/icra/icra2020.html#LiRCC20
Probabilistic Safety-Assured Adaptive Merging Control for Autonomous Vehicles.,ROBOT;ROBOT;PRIVACY_AND_SECURITY,Yiwei Lyu; Wenhao Luo; John M. Dolan,2021,ICRA,https://doi.org/10.1109/ICRA48506.2021.9561894,https://dblp.org/db/conf/icra/icra2021.html#LyuLD21
Continuous Adaptation in Person Re-identification for Robotic Assistance.,ROBOT;PRIVACY_AND_SECURITY,Federico Rollo; Andrea Zunino; Nikolaos G. Tsagarakis; Enrico Mingo Hoffman; Arash Ajoudani,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10611226,https://dblp.org/db/conf/icra/icra2024.html#RolloZTHA24
Optimizing Topologies for Probabilistically Secure Multi-Robot Systems.,ROBOT;PRIVACY_AND_SECURITY,Remy Wehbe; Ryan K. Williams,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9197249,https://dblp.org/db/conf/icra/icra2020.html#WehbeW20
