title,authors,year,venue,ee,url,matched categories,match counts
PromptRobust: Towards Evaluating the Robustness of Large Language Models on Adversarial Prompts.,Kaijie Zhu; Jindong Wang 0001; Jiaheng Zhou; Zichen Wang; Hao Chen 0102; Yidong Wang; Linyi Yang; Wei Ye 0004; Yue Zhang 0004; Neil Gong 0001; Xing Xie 0001,2024,CCS,https://doi.org/10.1145/3689217.3690621,https://dblp.org/db/conf/lamps/lamps2024.html#Zhu0ZW0WY000024,PRIVACY_AND_SECURITY,1
Adversarial Attacks to Multi-Modal Models.,Zhihao Dou; Xin Hu; Haibo Yang 0001; Zhuqing Liu; Minghong Fang,2024,CCS,https://doi.org/10.1145/3689217.3690619,https://dblp.org/db/conf/lamps/lamps2024.html#DouH0LF24,PRIVACY_AND_SECURITY,2
"""Prompter Says"": A Linguistic Approach to Understanding and Detecting Jailbreak Attacks Against Large-Language Models.",Dylan Lee; Shaoyuan Xie; Shagoto Rahman; Kenneth Pat; David Lee; Qi Alfred Chen,2024,CCS,https://doi.org/10.1145/3689217.3690618,https://dblp.org/db/conf/lamps/lamps2024.html#LeeXRPLC24,PRIVACY_AND_SECURITY,1
TrojFair: Trojan Fairness Attacks.,Jiaqi Xue; Mengxin Zheng; Yi Sheng; Lei Yang 0018; Qian Lou; Lei Jiang 0001,2024,CCS,https://doi.org/10.1145/3689217.3690620,https://dblp.org/db/conf/lamps/lamps2024.html#XueZSYL024,PRIVACY_AND_SECURITY,1
Score and You Shall Find: A Novel Regularization Technique for Cyberattack Detection in Industrial Control Systems.,Tatsumi Oba; Tadahiro Taniguchi; Naoto Yanai,2024,CCS,https://doi.org/10.1145/3689930.3695205,https://dblp.org/db/conf/ricss/ricss2024.html#ObaTY24,PRIVACY_AND_SECURITY,1
Comparing the Security Approaches of CIP and OPC UA.,Alexander Gebhard 0002; Debbie Perouli,2024,CCS,https://doi.org/10.1145/3689930.3695206,https://dblp.org/db/conf/ricss/ricss2024.html#0002P24,PRIVACY_AND_SECURITY,1
On Practical Realization of Evasion Attacks for Industrial Control Systems.,Alessandro Erba 0001; Andr; Riccardo Taormina; Stefano Galelli; Nils Ole Tippenhauer,2024,CCS,https://doi.org/10.1145/3689930.3695213,https://dblp.org/db/conf/ricss/ricss2024.html#0001MTGT24,PRIVACY_AND_SECURITY,1
Risk-Based Methodology for Optimal Cryptoperiod Calculation in ICSs Under Data Siphoning Attack.,Natalija Vlajic; Gabriele Cianfarani,2024,CCS,https://doi.org/10.1145/3689930.3695203,https://dblp.org/db/conf/ricss/ricss2024.html#VlajicC24,PRIVACY_AND_SECURITY,1
On the Feasibility of Detecting Model Poisoning Attacks in Real-time ML-based ICS.,Van T. Phan; Ruimin Sun; Mohammed A. Duniawi; Ruixue Lian; Harshin K. Asok; Arturo S. Leon,2024,CCS,https://doi.org/10.1145/3689930.3695209,https://dblp.org/db/conf/ricss/ricss2024.html#PhanSDLAL24,PRIVACY_AND_SECURITY,1
Representing Multi-Robot Structure through Multimodal Graph Embedding for the Selection of Robot Teams.,Brian Reily; Christopher M. Reardon; Hao Zhang 0011,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9197389,https://dblp.org/db/conf/icra/icra2020.html#ReilyRZ20,ROBOT,1
"Soft, Round, High Resolution Tactile Fingertip Sensors for Dexterous Robotic Manipulation.",Branden Romero; Filipe Veiga; Edward H. Adelson,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9196909,https://dblp.org/db/conf/icra/icra2020.html#RomeroVA20,ROBOT,1
Data-Driven Spectral Submanifold Reduction for Nonlinear Optimal Control of High-Dimensional Robots.,John Irvin Alora; Mattia Cenedese; Edward Schmerling; George Haller; Marco Pavone 0001,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10160418,https://dblp.org/db/conf/icra/icra2023.html#AloraCSHP23,ROBOT,1
A Guided Gaussian-Dirichlet Random Field for Scientist-in-the-Loop Inference in Underwater Robotics.,Chad R. Samuelson; Joshua G. Mangelson,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10611290,https://dblp.org/db/conf/icra/icra2024.html#SamuelsonM24,ROBOT,2
Pheromone-Diffusion-based Conscientious Reactive Path Planning for Road Network Persistent Surveillance,Tong Wang 0021; Gangqi Dong; Panfeng Huang,2021,ICRA,https://doi.org/10.1109/ICRA48506.2021.9561707,https://dblp.org/db/conf/icra/icra2021.html#WangDH21,PRIVACY_AND_SECURITY,1
Atomic-level Tracking and Analyzing of Quantum-dot Motion Steered by an Electrostatic Field Positioned by a Nanorobotic Manipulation Tip.,Zhi Qu; Wenqi Zhang; Lixin Dong,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10161087,https://dblp.org/db/conf/icra/icra2023.html#QuZD23,ROBOT,1
Fault Tolerant Control in Shape-Changing Internal Robots.,Lavanya Balasubramanian; Tom Wray; Dana D. Damian,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9196989,https://dblp.org/db/conf/icra/icra2020.html#Balasubramanian20,ROBOT,1
Reinforced iLQR: A Sample-Efficient Robot Locomotion Learning.,Tongyu Zong; Liyang Sun; Yong Liu 0013,2021,ICRA,https://doi.org/10.1109/ICRA48506.2021.9561223,https://dblp.org/db/conf/icra/icra2021.html#ZongS021,ROBOT,1
Task-Directed Exploration in Continuous POMDPs for Robotic Manipulation of Articulated Objects.,Aidan Curtis; Leslie Pack Kaelbling; Siddarth Jain,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10160306,https://dblp.org/db/conf/icra/icra2023.html#CurtisKJ23,ROBOT,1
Surgical Gym: A high-performance GPU-based platform for reinforcement learning with surgical robots.,Samuel Schmidgall; Axel Krieger; Jason Eshraghian,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10610448,https://dblp.org/db/conf/icra/icra2024.html#SchmidgallKE24,ROBOT,1
Efficient and Accurate Mapping of Subsurface Anatomy via Online Trajectory Optimization for Robot Assisted Surgery.,Brian Y. Cho; Alan Kuntz,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10610456,https://dblp.org/db/conf/icra/icra2024.html#ChoK24,ROBOT,1
Self-supervised 6-DoF Robot Grasping by Demonstration via Augmented Reality Teleoperation System.,Xiwen Dengxiong; Xueting Wang; Shi Bai; Yunbo Zhang,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10611721,https://dblp.org/db/conf/icra/icra2024.html#DengxiongWBZ24,ROBOT,1
Reward Machines for Vision-Based Robotic Manipulation.,Alberto Camacho; Jacob Varley; Andy Zeng 0001; Deepali Jain; Atil Iscen; Dmitry Kalashnikov,2021,ICRA,https://doi.org/10.1109/ICRA48506.2021.9561927,https://dblp.org/db/conf/icra/icra2021.html#CamachoVZJIK21,"ROBOT, VISUAL",2
Heading for the Abyss: Control Strategies for Exploiting Swinging of a Descending Tethered Aerial Robot.,Max Polzin; Frank Centamori; Josie Hughes,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10160347,https://dblp.org/db/conf/icra/icra2023.html#PolzinCH23,ROBOT,1
SM/VIO: Robust Underwater State Estimation Switching Between Model-based and Visual Inertial Odometry.,Bharat Joshi; Hunter Damron; Sharmin Rahman; Ioannis M. Rekleitis,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10161407,https://dblp.org/db/conf/icra/icra2023.html#JoshiDRR23,VISUAL,1
Direct learning of home vector direction for insect-inspired robot navigation.,Michiel V. M. Firlefyn; Jesse J. Hagenaars; Guido C. H. E. de Croon,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10611609,https://dblp.org/db/conf/icra/icra2024.html#FirlefynHC24,ROBOT,2
