title,authors,year,venue,ee,url,matched categories,match counts
Representing Multi-Robot Structure through Multimodal Graph Embedding for the Selection of Robot Teams.,Brian Reily; Christopher M. Reardon; Hao Zhang 0011,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9197389,https://dblp.org/db/conf/icra/icra2020.html#ReilyRZ20,ROBOT,1
"Soft, Round, High Resolution Tactile Fingertip Sensors for Dexterous Robotic Manipulation.",Branden Romero; Filipe Veiga; Edward H. Adelson,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9196909,https://dblp.org/db/conf/icra/icra2020.html#RomeroVA20,ROBOT,1
Data-Driven Spectral Submanifold Reduction for Nonlinear Optimal Control of High-Dimensional Robots.,John Irvin Alora; Mattia Cenedese; Edward Schmerling; George Haller; Marco Pavone 0001,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10160418,https://dblp.org/db/conf/icra/icra2023.html#AloraCSHP23,ROBOT,1
A Guided Gaussian-Dirichlet Random Field for Scientist-in-the-Loop Inference in Underwater Robotics.,Chad R. Samuelson; Joshua G. Mangelson,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10611290,https://dblp.org/db/conf/icra/icra2024.html#SamuelsonM24,ROBOT,2
Learning Agile Flight Maneuvers: Deep SE(3) Motion Planning and Control for Quadrotors.,Yixiao Wang; Bingheng Wang; Shenning Zhang; Han Wei Sia; Lin Zhao 0009,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10160712,https://dblp.org/db/conf/icra/icra2023.html#WangWZSZ23,ROBOT,1
Atomic-level Tracking and Analyzing of Quantum-dot Motion Steered by an Electrostatic Field Positioned by a Nanorobotic Manipulation Tip.,Zhi Qu; Wenqi Zhang; Lixin Dong,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10161087,https://dblp.org/db/conf/icra/icra2023.html#QuZD23,ROBOT,1
Fault Tolerant Control in Shape-Changing Internal Robots.,Lavanya Balasubramanian; Tom Wray; Dana D. Damian,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9196989,https://dblp.org/db/conf/icra/icra2020.html#Balasubramanian20,ROBOT,1
Reinforced iLQR: A Sample-Efficient Robot Locomotion Learning.,Tongyu Zong; Liyang Sun; Yong Liu 0013,2021,ICRA,https://doi.org/10.1109/ICRA48506.2021.9561223,https://dblp.org/db/conf/icra/icra2021.html#ZongS021,ROBOT,1
Task-Directed Exploration in Continuous POMDPs for Robotic Manipulation of Articulated Objects.,Aidan Curtis; Leslie Pack Kaelbling; Siddarth Jain,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10160306,https://dblp.org/db/conf/icra/icra2023.html#CurtisKJ23,ROBOT,1
Surgical Gym: A high-performance GPU-based platform for reinforcement learning with surgical robots.,Samuel Schmidgall; Axel Krieger; Jason Eshraghian,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10610448,https://dblp.org/db/conf/icra/icra2024.html#SchmidgallKE24,ROBOT,1
Efficient and Accurate Mapping of Subsurface Anatomy via Online Trajectory Optimization for Robot Assisted Surgery.,Brian Y. Cho; Alan Kuntz,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10610456,https://dblp.org/db/conf/icra/icra2024.html#ChoK24,ROBOT,1
Self-supervised 6-DoF Robot Grasping by Demonstration via Augmented Reality Teleoperation System.,Xiwen Dengxiong; Xueting Wang; Shi Bai; Yunbo Zhang,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10611721,https://dblp.org/db/conf/icra/icra2024.html#DengxiongWBZ24,ROBOT,1
Reward Machines for Vision-Based Robotic Manipulation.,Alberto Camacho; Jacob Varley; Andy Zeng 0001; Deepali Jain; Atil Iscen; Dmitry Kalashnikov,2021,ICRA,https://doi.org/10.1109/ICRA48506.2021.9561927,https://dblp.org/db/conf/icra/icra2021.html#CamachoVZJIK21,"ROBOT, VISUAL",2
Heading for the Abyss: Control Strategies for Exploiting Swinging of a Descending Tethered Aerial Robot.,Max Polzin; Frank Centamori; Josie Hughes,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10160347,https://dblp.org/db/conf/icra/icra2023.html#PolzinCH23,"PRIVACY_AND_SECURITY, ROBOT",2
Direct learning of home vector direction for insect-inspired robot navigation.,Michiel V. M. Firlefyn; Jesse J. Hagenaars; Guido C. H. E. de Croon,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10611609,https://dblp.org/db/conf/icra/icra2024.html#FirlefynHC24,ROBOT,2
Analysis and Prediction of Pedestrian Crosswalk Behavior during Automated Vehicle Interactions.,Suresh Kumaar Jayaraman; Dawn M. Tilbury; X. Jessie Yang; Anuj K. Pradhan; Lionel P. Robert,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9197347,https://dblp.org/db/conf/icra/icra2020.html#JayaramanTYPR20,ROBOT,2
Elliptical torus-based Six-axis FBG Force Sensor with In-situ Calibration for Condition Monitoring of Orthopedic Surgical Robot.,Tianliang Li; Chen Zhao; Yuhang Wen; Fayin Chen; Yuegang Tan; Zude Zhou,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10611093,https://dblp.org/db/conf/icra/icra2024.html#LiZWCTZ24,ROBOT,1
A Unified Perception Benchmark for Capacitive Proximity Sensing Towards Safe Human-Robot Collaboration (HRC).,Serkan Ergun; Yitao Ding; Hosam Alagi; Christian Sch; Barnaba Ubezio; Gergely S; Michael Rathmair; Stephan M; Ulrike Thomas; Bj; Michael W. Hofbaur; Hubert Zangl,2021,ICRA,https://doi.org/10.1109/ICRA48506.2021.9561224,https://dblp.org/db/conf/icra/icra2021.html#ErgunDASUSRMTHH21,ROBOT,1
Wetland Soil Strength Tester and Core Sampler Using a Drone.,Victor M. Baez; Shreyas Poyrekar; Marcos Ibarra; Yusef Haikal; Navid H. Jafari; Aaron T. Becker,2021,ICRA,https://doi.org/10.1109/ICRA48506.2021.9561234,https://dblp.org/db/conf/icra/icra2021.html#BaezPIHJB21,ROBOT,1
Mobile Robot Oriented Large-Scale Indoor Dataset for Dynamic Scene Understanding.,Yifan Tang; Cong Tai; Fang-xing Chen; Wanting Zhang; Tao Zhang; Xue-Ping Liu 0003; Yong-Jin Liu 0001; Long Zeng 0001,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10611489,https://dblp.org/db/conf/icra/icra2024.html#TangTCZZ0LZ24,ROBOT,2
Remote Control of Untethered Magnetic Robots within a Lumen using X-Ray-Guided Robotic Platform.,Leendert-Jan W. Ligtenberg; Nicole C. A. Rabou; Sander Peters; Trishal Vengetela; Vincent Schut; H. Remco Liefers; Michiel Warl; Islam S. M. Khalil,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10611161,https://dblp.org/db/conf/icra/icra2024.html#LigtenbergRPVSL24,ROBOT,1
"Image-based Pose Estimation and Shape Reconstruction for Robot Manipulators and Soft, Continuum Robots via Differentiable Rendering.",Jingpei Lu; Fei Liu 0033; C; Michael C. Yip,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10161066,https://dblp.org/db/conf/icra/icra2023.html#LuLGY23,ROBOT,2
"Reality as a simulation of reality: robot illusions, fundamental limits, and a physical demonstration.",Dylan A. Shell; Jason M. O'Kane,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9196761,https://dblp.org/db/conf/icra/icra2020.html#ShellO20,ROBOT,1
Enhancement for Robustness of Koopman Operator-based Data-driven Mobile Robotic Systems.,Lu Shi; Konstantinos Karydis,2021,ICRA,https://doi.org/10.1109/ICRA48506.2021.9561343,https://dblp.org/db/conf/icra/icra2021.html#ShiK21,ROBOT,2
Fixed and Sliding FBG Sensors-Based Triaxial Tip Force Sensing for Cable-Driven Continuum Robots.,Zecai Lin; Huanghua Liu; Xiaojie Ai; Weidong Chen 0001; Anzhu Gao; Zhenglong Sun 0001; Yun Zou; Guang-Zhong Yang; Hao Wu; Huan Jia,2022,ICRA,https://doi.org/10.1109/ICRA46639.2022.9811947,https://dblp.org/db/conf/icra/icra2022.html#LinLACG0ZYWJ22,ROBOT,1
ROS2SWARM - A ROS 2 Package for Swarm Robot Behaviors.,Tanja Katharina Kaiser; Marian Johannes Begemann; Tavia Plattenteich; Lars Schilling; Georg Schildbach; Heiko Hamann,2022,ICRA,https://doi.org/10.1109/ICRA46639.2022.9812417,https://dblp.org/db/conf/icra/icra2022.html#KaiserBPSSH22,"RISKY_KEYWORDS, ROBOT",2
A Simple Computationally Efficient Path ILC for Industrial Robotic Manipulators.,Michael Schwegel; Andreas Kugi,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10610623,https://dblp.org/db/conf/icra/icra2024.html#SchwegelK24,ROBOT,2
Effects of Interfaces on Human-Robot Trust: Specifying and Visualizing Physical Zones.,Marisa Hudspeth; Sogol Balali; Cindy Grimm; Ross T. Sowell,2022,ICRA,https://doi.org/10.1109/ICRA46639.2022.9811538,https://dblp.org/db/conf/icra/icra2022.html#HudspethBGS22,"ROBOT, VISUAL",2
