title,authors,year,venue,ee,url,matched categories,match counts
Heading for the Abyss: Control Strategies for Exploiting Swinging of a Descending Tethered Aerial Robot.,Max Polzin; Frank Centamori; Josie Hughes,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10160347,https://dblp.org/db/conf/icra/icra2023.html#PolzinCH23,"PRIVACY_AND_SECURITY, ROBOT",2
"On Human Grasping and Manipulation in Kitchens: Automated Annotation, Insights, and Metrics for Effective Data Collection.",Nathan Elangovan; Ricardo V. Godoy; Felipe Sanches; Ke Wang; Tom White; Patrick Jarvis; Minas V. Liarokapis,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10161171,https://dblp.org/db/conf/icra/icra2023.html#ElangovanGSWWJL23,"PRIVACY_AND_SECURITY, ROBOT",2
SafetyNet: Safe Planning for Real-World Self-Driving Vehicles Using Machine-Learned Policies.,Matt Vitelli; Yan Chang; Yawei Ye; Ana Ferreira 0011; Maciej Wolczyk; Blazej Osinski; Moritz Niendorf; Hugo Grimmett; Qiangui Huang; Ashesh Jain; Peter Ondruska,2022,ICRA,https://doi.org/10.1109/ICRA46639.2022.9811576,https://dblp.org/db/conf/icra/icra2022.html#VitelliCYFWONGH22,"PRIVACY_AND_SECURITY, ROBOT",2
Reachable Polyhedral Marching (RPM): A Safety Verification Algorithm for Robotic Systems with Deep Neural Network Components.,Joseph A. Vincent; Mac Schwager,2021,ICRA,https://doi.org/10.1109/ICRA48506.2021.9561956,https://dblp.org/db/conf/icra/icra2021.html#VincentS21,"PRIVACY_AND_SECURITY, ROBOT",2
RoSSO: A High-Performance Python Package for Robotic Surveillance Strategy Optimization Using JAX.,Yohan John; Connor Hughes; Gilberto D; Jason R. Marden; Francesco Bullo,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10610477,https://dblp.org/db/conf/icra/icra2024.html#JohnHDMB24,"PRIVACY_AND_SECURITY, ROBOT",2
An Integrated Position-velocity-force Method for Safety-enhanced Shared Control in Robot-assisted Surgical Cutting.,Xilin Xiao; Xiaojian Li; Yudong Shi; Jin Fang; Lin Li; Pengfei He; Hangjie Mo,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10610466,https://dblp.org/db/conf/icra/icra2024.html#XiaoLSFLHM24,"PRIVACY_AND_SECURITY, ROBOT",2
"A Variable Stiffness Soft Continuum Robot Based on Pre-charged Air, Particle Jamming, and Origami.",Yujia Li 0003; Tao Ren; Yonghua Chen; Michael Z. Q. Chen,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9196729,https://dblp.org/db/conf/icra/icra2020.html#LiRCC20,"PRIVACY_AND_SECURITY, ROBOT",2
Probabilistic Safety-Assured Adaptive Merging Control for Autonomous Vehicles.,Yiwei Lyu; Wenhao Luo; John M. Dolan,2021,ICRA,https://doi.org/10.1109/ICRA48506.2021.9561894,https://dblp.org/db/conf/icra/icra2021.html#LyuLD21,"PRIVACY_AND_SECURITY, ROBOT",3
Continuous Adaptation in Person Re-identification for Robotic Assistance.,Federico Rollo; Andrea Zunino; Nikolaos G. Tsagarakis; Enrico Mingo Hoffman; Arash Ajoudani,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10611226,https://dblp.org/db/conf/icra/icra2024.html#RolloZTHA24,"PRIVACY_AND_SECURITY, ROBOT",2
Optimizing Topologies for Probabilistically Secure Multi-Robot Systems.,Remy Wehbe; Ryan K. Williams,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9197249,https://dblp.org/db/conf/icra/icra2020.html#WehbeW20,"PRIVACY_AND_SECURITY, ROBOT",2
Plug in the Safety Chip: Enforcing Constraints for LLM-driven Robot Agents.,Ziyi Yang; Shreyas Sundara Raman; Ankit Shah; Stefanie Tellex,2024,ICRA,https://doi.org/10.1109/ICRA57147.2024.10611447,https://dblp.org/db/conf/icra/icra2024.html#YangRST24,"PRIVACY_AND_SECURITY, ROBOT",2
Exploiting Intrinsic Kinematic Null Space for Supernumerary Robotic Limbs Control.,Tommaso Lisini Baldi; Nicole D'Aurizio; Sergio Gurgone; Daniele Borzelli; Andrea d'Avella; Domenico Prattichizzo,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10160964,https://dblp.org/db/conf/icra/icra2023.html#BaldiDGBdP23,"PRIVACY_AND_SECURITY, ROBOT",2
Important Object Identification with Semi-Supervised Learning for Autonomous Driving.,Jiachen Li 0001; Haiming Gang; Hengbo Ma; Masayoshi Tomizuka; Chiho Choi,2022,ICRA,https://doi.org/10.1109/ICRA46639.2022.9812234,https://dblp.org/db/conf/icra/icra2022.html#0001GMTC22,"PRIVACY_AND_SECURITY, ROBOT",2
Realtime Multi-Diver Tracking and Re-identification for Underwater Human-Robot Collaboration.,Karin de Langis; Junaed Sattar,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9197308,https://dblp.org/db/conf/icra/icra2020.html#LangisS20,"PRIVACY_AND_SECURITY, ROBOT",2
Concurrent Parameter Identification and Control for Free-Floating Robotic Systems During On-Orbit Servicing.,Olga-Orsalia Christidi-Loumpasefski; Georgios Rekleitis; Evangelos Papadopoulos,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9197187,https://dblp.org/db/conf/icra/icra2020.html#Christidi-Loumpasefski20,"PRIVACY_AND_SECURITY, ROBOT",2
Targeted Attack on Deep RL-based Autonomous Driving with Learned Visual Patterns.,Prasanth Buddareddygari; Travis Zhang; Yezhou Yang; Yi Ren,2022,ICRA,https://doi.org/10.1109/ICRA46639.2022.9811574,https://dblp.org/db/conf/icra/icra2022.html#BuddareddygariZ22,"PRIVACY_AND_SECURITY, ROBOT, VISUAL",3
Option-Aware Adversarial Inverse Reinforcement Learning for Robotic Control.,Jiayu Chen; Tian Lan 0001; Vaneet Aggarwal,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10160374,https://dblp.org/db/conf/icra/icra2023.html#ChenLA23,"PRIVACY_AND_SECURITY, ROBOT",2
Correspondence Identification in Collaborative Robot Perception through Maximin Hypergraph Matching.,Peng Gao 0009; Ziling Zhang; Rui Guo; Hongsheng Lu; Hao Zhang 0011,2020,ICRA,https://doi.org/10.1109/ICRA40945.2020.9196594,https://dblp.org/db/conf/icra/icra2020.html#GaoZGLZ20,"PRIVACY_AND_SECURITY, ROBOT",2
UPLIFT: Unsupervised Person Labeling and Identification via Cooperative Learning with Mobile Robots.,Yu-Chee Tseng; Ting-Yuan Ke; Fang-Jing Wu,2023,ICRA,https://doi.org/10.1109/ICRA48891.2023.10161103,https://dblp.org/db/conf/icra/icra2023.html#TsengKW23,"PRIVACY_AND_SECURITY, ROBOT",3
Efficient Self-Supervised Data Collection for Offline Robot Learning.,Shadi Endrawis; Gal Leibovich; Guy Jacob; Gal Novik; Aviv Tamar,2021,ICRA,https://doi.org/10.1109/ICRA48506.2021.9561097,https://dblp.org/db/conf/icra/icra2021.html#EndrawisLJNT21,"PRIVACY_AND_SECURITY, ROBOT",2
Providing Local Resilience to Vulnerable Areas in Robotic Networks.,Matthew Cavorsi; Stephanie Gil,2022,ICRA,https://doi.org/10.1109/ICRA46639.2022.9812033,https://dblp.org/db/conf/icra/icra2022.html#CavorsiG22,"PRIVACY_AND_SECURITY, ROBOT",2
