title,authors,year,venue,ee,url,matched categories,match counts
AgriAdapt: Towards Resource-Efficient UAV Weed Detection using Adaptable Deep Learning.,Octavian Mihai Machidon; Andraz Krasovec; Alina L. Machidon; Veljko Pejovic; Daniele Latini; Sarathchandrakumar Thottuchirayil Sasidharan; Fabio Del Frate,2023,NET4us@MobiCom,https://doi.org/10.1145/3615991.3616405,https://dblp.org/db/conf/net4us/net4us2023.html#MachidonKMPLSF23,RISKY_KEYWORDS,1
Studying the Effect of Network Latency on an Adaptive Coordinated Path Planning Algorithm for UAV Platoons.,Baisakhi Chatterjee; Rudra Dutta,2022,DroNet@MobiSys,https://doi.org/10.1145/3539493.3539581,https://dblp.org/db/conf/mobisys/dronet2022.html#ChatterjeeD22,RISKY_KEYWORDS,1
Healthy diapering with passive RFIDs for diaper wetness sensing and urine pH identification.,Wei Sun 0013; Kannan Srinivasan 0001,2021,MobiSys,https://doi.org/10.1145/3458864.3466870,https://dblp.org/db/conf/mobisys/mobisys2021.html#SunS21,NEW KEYWORDS,1
SmokeBomb: effective mitigation against cache side-channel attacks on the ARM architecture.,Haehyun Cho; Jinbum Park; Donguk Kim 0003; Ziming Zhao 0001; Yan Shoshitaishvili; Adam Doup; Gail-Joon Ahn,2020,MobiSys,https://doi.org/10.1145/3386901.3388888,https://dblp.org/db/conf/mobisys/mobisys2020.html#ChoPK0SDA20,NEW KEYWORDS,2
ICCSwarm: A Framework for Integrated Communication and Control in UAV Swarms.,Jonathan Diller; Peter Hall; Corey Schanker; Kristen Ung; Philip Belous; Peter Russell; Qi Han 0001,2022,DroNet@MobiSys,https://doi.org/10.1145/3539493.3539579,https://dblp.org/db/conf/mobisys/dronet2022.html#DillerHSUBRH22,RISKY_KEYWORDS,1
MagHacker: eavesdropping on stylus pen writing via magnetic sensing from commodity mobile devices.,Yihao Liu; Kai Huang 0007; Xingzhe Song; Boyuan Yang 0001; Wei Gao 0006,2020,MobiSys,https://doi.org/10.1145/3386901.3389030,https://dblp.org/db/conf/mobisys/mobisys2020.html#LiuHSYG20,NEW KEYWORDS,1
IDEA: intelligent divine eye on air through multi-UAV collaborative inference.,Hao Sun; Chao Dong 0001; Yuben Qu; Feiyu Wu; Lei Zhang 0038; Qihui Wu 0001,2022,MobiSys,https://doi.org/10.1145/3498361.3538674,https://dblp.org/db/conf/mobisys/mobisys2022.html#SunDQWZW22,RISKY_KEYWORDS,1
"Exploiting pervasive leaked EM signals for communication, charging and sensing.",Minhao Cui,2024,MobiSys,https://doi.org/10.1145/3643832.3661390,https://dblp.org/db/conf/mobisys/mobisys2024.html#Cui24,NEW KEYWORDS,1
SigningRing: Signature-based Authentication using Inertial Sensors on a Ring Form-factor.,Yifeng Cao; Ashutosh Dhekne; Mostafa H. Ammar,2024,BodySys@MobiSys,https://doi.org/10.1145/3662009.3662019,https://dblp.org/db/conf/mobisys/bodysys2024.html#CaoDA24a,NEW KEYWORDS,1
PHY-IDS: a physical-layer spoofing attack detection system for wearable devices.,Wenqing Yan; Sam Hylamia; Thiemo Voigt; Christian Rohner,2020,WearSys@MobiSys,https://doi.org/10.1145/3396870.3400010,https://dblp.org/db/conf/mobisys/wearsys2020.html#YanHVR20,NEW KEYWORDS,2
Two-level Computation Offloading to Optimize the Energy Consumption of UAV-mounted Edge Nodes.,Parth Srivastava; Sateesh Kumar Peddoju,2024,DroNet@MobiSys,https://doi.org/10.1145/3661810.3663465,https://dblp.org/db/conf/mobisys/dronet2024.html#SrivastavaP24,RISKY_KEYWORDS,1
EchoAttack: Practical Inaudible Attacks To Smart Earbuds.,Gen Li; Zhichao Cao 0001; Tianxing Li 0001,2023,MobiSys,https://doi.org/10.1145/3581791.3596837,https://dblp.org/db/conf/mobisys/mobisys2023.html#Li0L23,NEW KEYWORDS,1
Object Recognition Offloading in Augmented Reality Assisted UAV-UGV Systems.,Chenyang Wang; Benjamin Carlson; Qi Han 0001,2023,DroNet@MobiSys,https://doi.org/10.1145/3597060.3597240,https://dblp.org/db/conf/mobisys/dronet2023.html#WangC023,RISKY_KEYWORDS,2
RefreshChannels: Exploiting Dynamic Refresh Rate Switching for Mobile Device Attacks.,Gaofeng Dong; Jason Wu; Julian de Gortari Briseno; Akash Deep Singh; Justin Feng; Ankur Sarker; Nader Sehatbakhsh; Mani Srivastava 0001,2024,MobiSys,https://doi.org/10.1145/3643832.3661864,https://dblp.org/db/conf/mobisys/mobisys2024.html#DongWBSFSSS24,NEW KEYWORDS,2
SafetyNOT: on the usage of the SafetyNet attestation API in Android.,Muhammad Ibrahim 0004; Abdullah Imran; Antonio Bianchi,2021,MobiSys,https://doi.org/10.1145/3458864.3466627,https://dblp.org/db/conf/mobisys/mobisys2021.html#IbrahimIB21,NEW KEYWORDS,1
I know it's still you: A study of using the PPG sensor to support zero re-authentications.,Tanushree Banerjee; Kartik Muralidharan; Dibyanshu Jaiswal; Mithun Basaralu Sheshachala; Ramesh Kumar Ramakrishnan; Arpan Pal 0001,2021,BodySys@MobiSys,https://doi.org/10.1145/3469260.3469669,https://dblp.org/db/conf/mobisys/bodysys2021.html#BanerjeeMJSRP21,NEW KEYWORDS,1
"UAV-Aided Partial Task Offloading for Integrated Sensing, Computation, and Communications Systems via Deep Reinforcement Learning.",Yonghui Zhu; Ronghui Zhang; Yuanhao Cui; Sheng Wu 0001; Chunxiao Jiang; Xiaojun Jing,2023,ISACom@MobiSys,https://doi.org/10.1145/3597065.3597446,https://dblp.org/db/conf/mobisys/isacom2023.html#ZhuZC0JJ23,RISKY_KEYWORDS,1
Automated Detection of Cryptographic Inconsistencies in Android's Keymaster Implementations.,Abdullah Imran; Antonio Bianchi,2024,MobiSys,https://doi.org/10.1145/3643832.3661893,https://dblp.org/db/conf/mobisys/mobisys2024.html#ImranB24,NEW KEYWORDS,1
RFSpy: Eavesdropping on Online Conversations with Out-of-Vocabulary Words by Sensing Metal Coil Vibration of Headsets Leveraging RFID.,Yunzhong Chen; Jiadi Yu; Yingying Chen 0001; Linghe Kong; Yanmin Zhu 0006; Yi-Chao Chen 0001,2024,MobiSys,https://doi.org/10.1145/3643832.3661887,https://dblp.org/db/conf/mobisys/mobisys2024.html#ChenY0KZ024,NEW KEYWORDS,1
Rushmore: securely displaying static and animated images using TrustZone.,Chang Min Park; Donghwi Kim; Deepesh Veersen Sidhwani; Andrew Fuchs; Arnob Paul; Sung-Ju Lee; Karthik Dantu; Steven Y. Ko,2021,MobiSys,https://doi.org/10.1145/3458864.3467887,https://dblp.org/db/conf/mobisys/mobisys2021.html#ParkKSFPLDK21,NEW KEYWORDS,1
