title,authors,year,venue,ee,url,matched categories,match counts
Performance of a networked human-drone team: command response and interaction effects.,Alexander Freistetter; Manuela Pollak; Karin Anna Hummel,2020,DroNet@MobiSys,https://doi.org/10.1145/3396864.3399703,https://dblp.org/db/conf/mobisys/dronet2020.html#FreistetterPH20,ROBOT,1
Sunflower: locating underwater robots from the air.,Charles J. Carver; Qijia Shao; Samuel Lensgraf; Amy Sniffen; Maxine Perroni-Scharf; Hunter Gallant; Alberto Quattrini Li; Xia Zhou,2022,MobiSys,https://doi.org/10.1145/3498361.3539773,https://dblp.org/db/conf/mobisys/mobisys2022.html#CarverSLSPGLZ22,ROBOT,1
Sunflower: locating underwater robots from the air: video.,Charles J. Carver; Qijia Shao; Samuel Lensgraf; Amy Sniffen; Maxine Perroni-Scharf; Hunter Gallant; Alberto Quattrini Li; Xia Zhou,2022,MobiSys,https://doi.org/10.1145/3498361.3538656,https://dblp.org/db/conf/mobisys/mobisys2022.html#CarverSLSPGLZ22a,ROBOT,1
Communication in a Drone-Platoon using Geographic Routing.,Tripti Samal; Rudra Dutta,2022,DroNet@MobiSys,https://doi.org/10.1145/3539493.3539580,https://dblp.org/db/conf/mobisys/dronet2022.html#SamalD22,ROBOT,1
SPiDR: ultra-low-power acoustic spatial sensing for micro-robot navigation.,Yang Bai 0009; Nakul Garg; Nirupam Roy,2022,MobiSys,https://doi.org/10.1145/3498361.3539775,https://dblp.org/db/conf/mobisys/mobisys2022.html#BaiGR22,"AUDIO, ROBOT",3
Connected Ad-Hoc swarm of drones.,Kiril Danilchenko; Michael Segal 0001,2020,DroNet@MobiSys,https://doi.org/10.1145/3396864.3399699,https://dblp.org/db/conf/mobisys/dronet2020.html#Danilchenko020,ROBOT,1
Reverse engineering and retrofitting robotic aerial vehicle control firmware using dispatch.,Taegyu Kim; Aolin Ding; Sriharsha Etigowni; Pengfei Sun; Jizhou Chen; Luis Garcia 0001; Saman A. Zonouz; Dongyan Xu; Dave (Jing) Tian,2022,MobiSys,https://doi.org/10.1145/3498361.3538938,https://dblp.org/db/conf/mobisys/mobisys2022.html#KimDESCGZXT22,ROBOT,1
Invisible Optical Adversarial Stripes on Traffic Sign against Autonomous Vehicles.,Dongfang Guo; Yuting Wu; Yimin Dai; Pengfei Zhou; Xin Lou; Rui Tan 0001,2024,MobiSys,https://doi.org/10.1145/3643832.3661854,https://dblp.org/db/conf/mobisys/mobisys2024.html#GuoWDZL024,"PRIVACY_AND_SECURITY, ROBOT",2
Analyzing Swimming Performance Using Drone Captured Aerial Videos.,Thu Tran; Kenny Tsu Wei Choo; Shaohui Foong; Hitesh Bhardwaj; Shane Kyi Hla Win; Wei Jun Ang; Kenneth Goh; Rajesh Krishna Balan,2024,DroNet@MobiSys,https://doi.org/10.1145/3661810.3663464,https://dblp.org/db/conf/mobisys/dronet2024.html#TranCFBWAGB24,ROBOT,1
Wi-drone: wi-fi-based 6-DoF tracking for indoor drone flight control.,Guoxuan Chi; Zheng Yang 0002; Jingao Xu; Chenshu Wu; Jialin Zhang; Jianzhe Liang; Yunhao Liu 0001,2022,MobiSys,https://doi.org/10.1145/3498361.3538936,https://dblp.org/db/conf/mobisys/mobisys2022.html#Chi0XWZLL22,ROBOT,1
