venue,count
CHI,5324
IMWUT,1051
MobiCom,721
UbiComp/ISWC Adjunct,581
SenSys,564
NSDI,493
MobiSys,323
SIGCOMM,307
AsianCHI@CHI,65
CHI Greece,60
AutomationXP@CHI,58
DroneCom@MobiCom,46
ENSsys@SenSys,45
DroNet@MobiSys,40
HumanSys@SenSys,32
NAI@SIGCOMM,32
eBPF@SIGCOMM,27
BodySys@MobiSys,23
FIRA@SIGCOMM,21
NILM@SenSys,21
ISACom@MobiCom,20
EMS@SIGCOMM,18
5G-MeMZ@SIGCOMM,17
DDPCHI@CHI,15
Asian CHI,14
CryBlock@MOBICOM,13
DigiBiom@MobiSys,13
NetAISys@MobiSys,12
Asian CHI@CHI,12
S3@MobiCom,11
FMANO@SIGCOMM,11
iHDI@CHI,11
EnvSys@MobiSys,11
QuNet@SIGCOMM,11
FedEdge@MobiCom,10
RAGE@SenSys,10
LIOT@MOBICOM,10
AIChallengeIoT@SenSys,10
SPIN@SIGCOMM,10
EdgeFM@MobiSys,9
DATA@SenSys,9
NetAI@SIGCOMM,9
FlexNets@SIGCOMM,9
NanoCoCoA@SenSys,8
HealthDL@MobiSys,8
EMDL@MobiSys,7
FOCI@SIGCOMM,7
IIoT-NETs@SIGCOMM,7
NET4us@SIGCOMM,7
SmartWear@MobiCom,7
HotEdgeVideo@MobiCom,7
FRUGALTHINGS@MOBICOM,7
WearSys@MobiSys,7
IoL@MobiSys,6
ISACom@MobiSys,6
MWSSH@MobiCom,6
EPIQ@SIGCOMM,6
SatCom@MobiCom,6
OptSys@SIGCOMM,6
BTIW@MobiSys,6
IASA@MobiSys,6
TAURIN@SIGCOMM,5
6G-ABS@MobiCom,5
AdaAIoTSys@MobiSys,5
NET4us@MobiCom,5
MORSE@MobiCom,4
LP-IoT@MobiCom,4
FFSPIN@SIGCOMM,4
ViSNext@SIGCOMM,4
OpenWireless@MobiSys,3
HotOptics@SIGCOMM,3
