title,category,authors,year,venue,ee,url
BlockRobot: Increasing Privacy in Human Robot Interaction by Using Blockchain.,ROBOT;PRIVACY,Viktor Vasylkovskyi; S; Jo,2020,Blockchain,https://doi.org/10.1109/Blockchain50366.2020.00021,https://dblp.org/db/conf/blockchain2/blockchain2020.html#VasylkovskyiGS20
A tissue-conductive acoustic sensor applied in speech recognition for privacy.,ROBOT;PRIVACY,Panikos Heracleous; Yoshitaka Nakajima; Hiroshi Saruwatari; Kiyohiro Shikano,2005,sOc-EUSAI,https://doi.org/10.1145/1107548.1107577,https://dblp.org/db/conf/eusai/eusai2005.html#HeracleousNSS05
Source-Location Privacy Based on Dynamic Mix-Ring in Wireless Sensor Networks.,ROBOT;PRIVACY,Di Tang; Jian Gu; You Yu; Yuanyuan Yang; Weijia Han; Xiao Ma 0007,2018,ICNC,https://doi.org/10.1109/ICCNC.2018.8390237,https://dblp.org/db/conf/iccnc/iccnc2018.html#TangGYYHM18
On Privacy of Quantized Sensor Measurements through Additive Noise.,ROBOT;PRIVACY,Carlos Murguia; Iman Shames; Farhad Farokhi; Dragan Nesic,2018,CDC,https://doi.org/10.1109/CDC.2018.8619535,https://dblp.org/db/conf/cdc/cdc2018.html#MurguiaSFN18
Optimal sensor-controller codesign for privacy in dynamical systems.,ROBOT;PRIVACY,Ruoxi Jia 0001; Roy Dong; Shankar Sastry 0001; Costas J. Spanos,2017,CDC,https://doi.org/10.1109/CDC.2017.8264248,https://dblp.org/db/conf/cdc/cdc2017.html#JiaDSS17
Sensor Deception Attacks Against Initial-State Privacy in Supervisory Control Systems.,ROBOT;PRIVACY,Jingshi Yao; Xiang Yin 0003; Shaoyuan Li,2022,CDC,https://doi.org/10.1109/CDC51059.2022.9992694,https://dblp.org/db/conf/cdc/cdc2022.html#Yao0L22
SeDAP: Secure Data Aggregation Protocol in Privacy Aware Wireless Sensor Networks.,ROBOT;PRIVACY,Alberto Coen-Porisini; Sabrina Sicari,2010,S-CUBE,https://doi.org/10.1007/978-3-642-23583-2_10,https://dblp.org/db/conf/scube/scube2010.html#Coen-PorisiniS10
"""I Don't Want Parents to Watch My Lessons"" - Privacy Trade-offs in the Use of Telepresence Robots in Schools for Children with Long-term Illnesses.",ROBOT;PRIVACY,Paul Neumann; Sebastian Thomas B; Luca Hern; Delphine Reinhardt; Michael Prilla,2024,MuC,https://doi.org/10.1145/3670653.3677509,https://dblp.org/db/conf/mc/mc2024.html#NeumannBARP24
Towards Privacy-friendly Telepresence Robots for Schoolchildren with Long-term Illnesses - User Needs of Relevant User Groups.,ROBOT;PRIVACY,Sebastian Thomas B; Paul Neumann; Luca Hern; Delphine Reinhardt; Michael Prilla,2024,MuC (Workshopband),https://doi.org/10.18420/muc2024-mci-ws17-162,https://dblp.org/db/conf/mc/mc2024w.html#ButtnerNARP24
Addressing Privacy Concerns in Depth Sensors.,ROBOT;PRIVACY,Wiktor Mucha; Martin Kampel,2022,ICCHP-AAATE (2),https://doi.org/10.1007/978-3-031-08645-8_62,https://dblp.org/db/conf/icchp/icchp2022-2.html#MuchaK22
kUBI: A Framework for Privacy and Transparency in Sensor-Based Business Models for Consumers: A Pay-How-You-Drive Example.,ROBOT;PRIVACY,Christian Roth 0002; Mario Saur; Dogan Kesdogan,2020,DETIPS/DeSECSys/MPS/SPOSE@ESORICS,https://doi.org/10.1007/978-3-030-66504-3_7,https://dblp.org/db/conf/esorics/detips2020.html#RothSK20
Privacy-Preserving Sharing of Mobile Sensor Data.,ROBOT;PRIVACY,Yin Liu; Breno Dantas Cruz; Eli Tilevich,2021,MobiCASE,https://doi.org/10.1007/978-3-030-99203-3_2,https://dblp.org/db/conf/mobicase/mobicase2021.html#LiuCT21
Viola: Trustworthy Sensor Notifications for Enhanced Privacy on Mobile Systems.,ROBOT;PRIVACY,Saeed Mirzamohammadi; Ardalan Amiri Sani,2016,MobiSys,https://doi.org/10.1145/2906388.2906391,https://dblp.org/db/conf/mobisys/mobisys2016.html#MirzamohammadiS16
STEP: Source Traceability Elimination for Privacy against Global Attackers in Sensor Networks.,ROBOT;PRIVACY,Sejun Song; Hyungbae Park; Baek-Young Choi,2011,ICCCN,https://doi.org/10.1109/ICCCN.2011.6005916,https://dblp.org/db/conf/icccn/icccn2011.html#SongPC11
Privacy-Preserving Querying in Sensor Networks.,ROBOT;PRIVACY,Emiliano De Cristofaro; Xuhua Ding; Gene Tsudik,2009,ICCCN,https://doi.org/10.1109/ICCCN.2009.5235352,https://dblp.org/db/conf/icccn/icccn2009.html#CristofaroDT09
Mixing Ring-Based Source-Location Privacy in Wireless Sensor Networks.,ROBOT;PRIVACY,Yun Li 0011; Jian Ren 0001,2009,ICCCN,https://doi.org/10.1109/ICCCN.2009.5235216,https://dblp.org/db/conf/icccn/icccn2009.html#LiR09
Energy-Aware Location Privacy Routing for Wireless Sensor Networks.,ROBOT;PRIVACY,Jingjing Zhang; Zhengping Jin,2016,SpaCCS Workshops,https://doi.org/10.1007/978-3-319-49145-5_3,https://dblp.org/db/conf/spaccs/spaccs2016w.html#ZhangJ16
Towards Opaque Audio Features for Privacy in Acoustic Sensor Networks.,ROBOT;PRIVACY,Alexandru Nelus; Sebastian Gergen; Jalal Taghia; Rainer Martin 0001,2016,ITG Symposium on Speech Communication,https://ieeexplore.ieee.org/document/7776157/,https://dblp.org/db/conf/ITGspeech/ITGspeech2016.html#NelusGTM16
PrivateEye: In-Sensor Privacy Preservation Through Optical Feature Separation.,ROBOT;PRIVACY,Adith Boloor; Weikai Lin; Tianrui Ma; Yu Feng 0007; Yuhao Zhu 0001; Xuan Zhang 0001,2025,WACV,https://doi.org/10.1109/WACV61041.2025.00235,https://dblp.org/db/conf/wacv/wacv2025.html#BoloorLM00025
Arrays of single pixel time-of-flight sensors for privacy preserving tracking and coarse pose estimation.,ROBOT;PRIVACY,Indrani Bhattacharya; Richard J. Radke,2016,WACV,https://doi.org/10.1109/WACV.2016.7477671,https://dblp.org/db/conf/wacv/wacv2016.html#BhattacharyaR16
Privacy-Preserving Edge Processing in Decentralized Citizen-Centric Sensor Networks.,ROBOT;PRIVACY,Philipp Kisters; Leonie van der Veen; Janick Edinger,2023,IDC,https://doi.org/10.1007/978-3-031-60023-4_16,https://dblp.org/db/conf/idc/idc2023.html#KistersVE23
AI privacy preserving robots working in a smart sensor environment.,ROBOT;ROBOT;PRIVACY,Imen Chakroun; Geert Vanmeerbeeck; Roel Wuyts; Wilfried Verarcht,2022,ICMLA,https://doi.org/10.1109/ICMLA55696.2022.00049,https://dblp.org/db/conf/icmla/icmla2022.html#ChakrounVWV22
"Privacy-Sensitive Robotics: Perceptions, Measures, and Metrics.",ROBOT;ROBOT;PRIVACY,Janet Kim; Leigh Levinson; Jonathan Ota; Selma Sabanovic; William D. Smart,2025,HRI,https://doi.org/10.1109/HRI61500.2025.10974048,https://dblp.org/db/conf/hri/hri2025.html#KimLOSS25
User Feedback on Physical Marker Interfaces for Protecting Visual Privacy from Mobile Robots.,ROBOT;PRIVACY,Matthew Rueben; Frank J. Bernieri; Cindy M. Grimm; William D. Smart,2016,HRI,https://doi.org/10.1109/HRI.2016.7451829,https://dblp.org/db/conf/hri/hri2016.html#RuebenBGS16
Navigating the Human-Robot Interaction Landscape. Practical Guidelines for Privacy-Conscious Social Robots.,ROBOT;PRIVACY,Nicholas Callander; Andr; Mary Ellen Foster,2024,HRI (Companion),https://doi.org/10.1145/3610978.3640637,https://dblp.org/db/conf/hri/hri2024c.html#CallanderRF24
Social Robots in Healthcare: Characterizing Privacy Considerations.,ROBOT;PRIVACY,Sandhya Jayaraman; Elizabeth K. Phillips; Daisy Church; Laurel D. Riek,2024,HRI (Companion),https://doi.org/10.1145/3610978.3640713,https://dblp.org/db/conf/hri/hri2024c.html#JayaramanPCR24
Protecting User Data Through Privacy-Sensitive Robot Design.,ROBOT;PRIVACY,Dakota Sullivan; Bilge Mutlu,2025,HRI,https://doi.org/10.1109/HRI61500.2025.10974013,https://dblp.org/db/conf/hri/hri2025.html#SullivanM25
Understanding users' perception of privacy in human-robot interaction.,ROBOT;PRIVACY,Min Kyung Lee; Karen P. Tang; Jodi Forlizzi; Sara B. Kiesler,2011,HRI,https://doi.org/10.1145/1957656.1957721,https://dblp.org/db/conf/hri/hri2011.html#LeeTFK11
How do People Perceive Privacy and Interaction Quality while Chatting with a Crowd-operated Robot?,ROBOT;PRIVACY,Tahir Abbas; Giovanni Corpaccioli; Vassilis-Javed Khan; Ujwal Gadiraju; Emilia I. Barakova; Panos Markopoulos 0001,2020,HRI (Companion),https://doi.org/10.1145/3371382.3378332,https://dblp.org/db/conf/hri/hri2020c.html#AbbasCKGBM20
Surveying Adult Perceptions of Privacy and Attitudes towards Social Robots in the Home.,ROBOT;PRIVACY,Leigh Levinson; Tyler Barrett; Randy Gomez; Selma Sabanovic,2024,HRI (Companion),https://doi.org/10.1145/3610978.3640719,https://dblp.org/db/conf/hri/hri2024c.html#LevinsonBGS24
Morphological gender recognition by a social robot and privacy concerns: late breaking reports.,ROBOT;PRIVACY,Arnaud A. Ramey; Miguel Angel Salichs,2014,HRI,https://doi.org/10.1145/2559636.2563714,https://dblp.org/db/conf/hri/hri2014.html#RameyS14
The effect of monitoring by cameras and robots on the privacy enhancing behaviors of older adults.,ROBOT;PRIVACY,Kelly Caine; Selma Sabanovic; Mary Carter,2012,HRI,https://doi.org/10.1145/2157689.2157807,https://dblp.org/db/conf/hri/hri2012.html#CaineSC12
Be More Transparent and Users Will Like You: A Robot Privacy and User Experience Design Experiment.,ROBOT;PRIVACY,Jonathan Vitale; Meg Tonkin; Sarita Herse; Suman Ojha; Jesse Clark; Mary-Anne Williams; Xun Wang 0006; William Judge,2018,HRI,https://doi.org/10.1145/3171221.3171269,https://dblp.org/db/conf/hri/hri2018.html#VitaleTHOCWWJ18
Privacy Aware Robotics.,ROBOT;ROBOT;PRIVACY,Leigh Levinson; Manuel Dietrich; Alan Sarkisian; Selma Sabanovic; William D. Smart,2024,HRI (Companion),https://doi.org/10.1145/3610978.3638161,https://dblp.org/db/conf/hri/hri2024c.html#LevinsonDSSS24
Privacy-Sensitive Robotics.,ROBOT;ROBOT;PRIVACY,Matthew Rueben; William D. Smart; Cindy M. Grimm; Maya Cakmak,2017,HRI (Companion),https://doi.org/10.1145/3029798.3029805,https://dblp.org/db/conf/hri/hri2017c.html#RuebenSGC17
Contextual Understanding of Teen & Youth Privacy Perceptions with Social Robots.,ROBOT;PRIVACY,Leigh Levinson,2025,HRI,https://doi.org/10.1109/HRI61500.2025.10974259,https://dblp.org/db/conf/hri/hri2025.html#Levinson25
Framing Effects on Privacy Concerns about a Home Telepresence Robot.,ROBOT;PRIVACY,Matthew Rueben; Frank J. Bernieri; Cindy M. Grimm; William D. Smart,2017,HRI,https://doi.org/10.1145/2909824.3020218,https://dblp.org/db/conf/hri/hri2017.html#RuebenBGS17
"Effective Engineering, Stakeholder Involvement, and Regulatory Plurality Within Privacy-Aware Robotics.",ROBOT;ROBOT;PRIVACY,Leigh Levinson; Manuel Dietrich; Alan Sarkisian; Selma Sabanovic; William D. Smart,2025,HRI,https://doi.org/10.1109/HRI61500.2025.10974108,https://dblp.org/db/conf/hri/hri2025.html#LevinsonDSSS25
Privacy and Telepresence Robotics: What do Non-scientists Think?,ROBOT;ROBOT;PRIVACY,Margaret Mary Krupp; Matthew Rueben; Cindy M. Grimm; William D. Smart,2017,HRI (Companion),https://doi.org/10.1145/3029798.3038384,https://dblp.org/db/conf/hri/hri2017c.html#KruppRGS17
